지역,시군구,읍면동,상세주소,구분,장소유형,위도,경도
인천광역시,강화군,동검도,강화군 동검도 선착장 앞 ,침수,항포구,37.58494833,126.522105
인천광역시,강화군,동검도,강화군 동검리 704 인근 방파제,추락,항포구,37.58466667,126.5225
인천광역시,옹진군,영흥면,인천 영흥면 내리 진두선착장,침수,항포구,37.252785,126.4926367
인천광역시,옹진군,영흥면,인천 옹진군 영흥면 진두항 인근 ,추락,항포구,37.25255333,126.4927167
인천광역시,옹진군,영흥면,측도 내 슬립웨이,고립,해안가,37.23371667,126.5180383
인천광역시,웅진군,영흥면,인천 옹진군 영흥면 내리 소재 안도 인근 해안가,고립,해안가,37.259115,126.4910917
인천광역시,웅진군,영흥면,인천 웅진군 영흥면 진두항 3번 부두,고립,항포구,37.25255,126.4929
인천광역시,인천시,강화군,인천시 강화군 외포리 선착장,추락,항포구,37.70026667,126.3753767
인천광역시,인천시,중구,을왕리해수욕장 이모네 조개구이집 앞,침수,해안가,37.440855,126.3708317
울산광역시,기장군,기장읍,대변항 대변초등학교 앞 ,추락,항포구,35.22132,129.2229867
울산광역시,기장군,기장읍,부산광역시 기장군 연화리 서암마을 앞 ,추락,항포구,35.20866667,129.2204833
울산광역시,기장군,일광면,부산 기장군 일광면 이천리 소재 해녀복지회관 앞 ,추락,항포구,35.25891667,129.23735
울산광역시,남구,매암동,울산항 1부두(석탄부두) 대한통운부두 ,추락,항포구,35.52378667,129.3722433
울산광역시,남구,장생포동,장생포교회 앞 ,추락,항포구,35.50153333,129.3731333
울산광역시,동구,방어동,방어진수협 위판장 앞 ,추락,항포구,35.48395,129.4246167
울산광역시,동구,방어동,슬도 횟집 앞 ,추락,항포구,35.4754,129.4258
울산광역시,동구,방어동,방어동 수협위판장 앞 ,추락,항포구,35.48396667,129.4245833
울산광역시,동구,일산동,일산해수욕장 앞 회센터 앞 ,추락,해안가,35.50016667,129.4341833
울산광역시,동구,일산동,외식중공업 식당 앞 일산해변 앞,고립,해수욕장,35.4919,129.4251333
울산광역시,동구,일산동,울산 동구 일산항 활어시장 앞,추락,항포구,35.50015,129.43415
울산광역시,동구,주전동,주전해변 남쪽화장실 앞 해변,고립,해수욕장,35.55933167,129.4531967
울산광역시,북구,정자7길,울산 정자항 팔각정 횟집 앞 15~20m ,추락,항포구,35.60992167,129.4429833
울산광역시,울주군,서생면,울주군 서생면 진하항 선착장 해안도로 ,추락,항포구,35.38692833,129.3400517
울산광역시,울주군,서생면,울산 울주군 서생면 진하항,추락,항포구,35.38716667,129.3398333
울산광역시,울주군,서생면,울산 신리항 앞,추락,항포구,35.33893333,129.3182333
울산광역시,울주군,온산읍,울산 울주군 서생면 진하리 진하항 진하출장소 앞 ,추락,항포구,35.38699,129.3398833
부산광역시,강서구,명지동,중리항(어민복지회관) 앞,추락,항포구,35.10396667,128.9245667
부산광역시,강서구,성북동,다목적부두 터미널 앞,추락,항포구,35.07115,128.8335183
부산광역시,강서구,천성동,천성항 중앙방파제 입구 해상,추락,항포구,35.02364333,128.809225
부산광역시,기장군,기장읍,부산시 기장군 기장읍 죽성리 월전항,추락,항포구,35.23621167,129.2403217
부산광역시,기장군,기장읍,연화리 소재 하루방 횟집 앞,추락,항포구,35.2088,129.2206833
부산광역시,기장군,기장읍,부산시 기장군 죽성리 두호마을 두호선착장 앞 해상,추락,항포구,35.23881667,129.24125
부산광역시,기장군,기장읍,공수마을 시랑리 해안도로 '아랫길 횟집' 앞 해안가,추락,해안가,35.18528667,129.2086117
부산광역시,기장군,기장읍,부산 기장군 기장읍 죽성리 두호항 ,추락,항포구,35.23885,129.2413333
부산광역시,기장군,일광면,부산시 기장군 일광면 문중리 소재 문중항 어선 선착장 앞 해상,추락,항포구,35.29199833,129.2566083
부산광역시,기장군,일광면,문동리 매립공사장(공사로 인한 웅덩이 형성),추락,해안가,35.3058,129.25645
부산광역시,기장군,일광면,부산 기장군 일광면 학리방파제옆 해상,추락,항포구,35.25542833,129.2416033
부산광역시,기장군,일광면,부산 기장군 일광면 원조 수산 앞,추락,항포구,35.2698,129.2400833
부산광역시,기장군,일광면,부산 기장군 일광면 이동 방파제 육상 호이스트 앞,추락,항포구,35.27013333,129.2414833
부산광역시,기장군,장안읍,기장 임랑항 방파제 앞 20m 해상,추락,해안가,35.30924,129.2574567
